,Process_Name,Type,Definition,DataProperty,Concept,Synonymes,Relation,Object
168,DEFINE ACTIVITIES,Has_outputs,a milestone is a signiﬁcant point or event in a project. a milestone list identiﬁes all project milestones and indicates whether the milestone is mandatory such as those required by contract or optional such as those based on historical information. milestones have zero duration because they represent a signiﬁcant point or event. ,, milestone list ,",activity list,milestone list,activity list,milestone list,activity list,activity list,activity list,activity list,milestone,milestone list,milestone,activity list",",contains,have,contains,have,be,be,includes,includes,is,identiﬁes,is,be",",schedule activities,speciﬁc milestones,schedule activities,speciﬁc milestones,schedule model,activity list,schedule activities,activity identiﬁer,point,project milestones,contract,project activities"
169,DEFINE ACTIVITIES,Has_outputs, once the project has been baselined the progressive elaboration of deliverables into activities may reveal work that was not initially part of the project baselines. this may result in a change request. change requests are processed for review and disposition through the perform integrated change control process section .. ,Section 4.3.3.4., change requests ,",requests,change,change,change request,change requests,change requests,change request,change requests,change requests,change request,change requests,change requests,change request,change requests,change request,change requests,change request",",use,schedule,cost,scope,perform,perform,schedule,scope,perform,schedule,schedule,perform,schedule,change,cost,perform,cost",",cases,schedule baseline,cost baseline,schedule baselines,process section,process section,schedule baseline,components,process section,schedule management plan,schedule baseline,process section,schedule management plan,activity duration,schedule baselines,process section,cost management plan"
170,DEFINE ACTIVITIES,Has_outputs,any change to the project management plan goes through the organizations change control process via a change request. components that may require a change request for the project management plan include but are not limited to schedule baseline. throughout the project work packages are progressively elaborated into activities. this process may reveal work that was not part of the initial schedule baseline necessitating a change to delivery dates or other significant schedule milestones that are part of the schedule baseline. cost baseline. changes to the cost baseline are incorporated in response to approved changes in schedule activities. part guide . ,Section 6.5.3.1. Section 7.3.3.1., project management plan updates ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
171,SEQUENCE ACTIVITIES,Has_outputs,a project schedule network diagram is a graphical representation of the logical relationships also referred to as dependencies among the project schedule activities. figure illustrates a project schedule network diagram. a project schedule network diagram is produced manually or by using project management software. it can include full project details or have one or more summary activities. a summary narrative can accompany the diagram and describe the basic approach used to sequence the activities. any unusual activity sequences within the network should be fully described within the narrative. activities that have multiple predecessor activities indicate a path convergence. activities that have multiple successor activities indicate a path divergence. activities with divergence and convergence are at greater risk as they are affected by multiple activities or can affect multiple activities. activity i is called a path convergence as it has more than one predecessor while activity k is called a path divergence as it has more than one successor. ,, project schedule network diagrams ,",project,project schedule,project,project schedule,schedule,schedule,project schedule,network diagrams,schedule network analysis,network,schedule network analysis,project schedule,schedule network analysis,schedule,project schedule,project schedule,project schedule,project,project,project,project,project,project schedule,project,project,project schedule,project,project schedule,project,schedule project,project,project schedule,project schedule,stage project schedule,project schedule,project schedule model,diagrams,project schedule,project schedule,project project,project",",is,perform,meet,refers,includes,provides,includes,is,is,see,is,be,is,compute,address,deﬁnes,require,is,is,ﬁnish,progresses,has,is,is,is,manage,deliver,remain,adjust,generates,has,is,includes,remains,be,be,projects,result,result,include,is",",people,project work,commitments,version,type quantity,interest charges,projects activities,timescale,technique,path,process,schedule model,schedule,component delivery,address impact,deﬁnes,action,funding entity,values,date,project team,date,factor,work sv,cpi,changes,products services,project,knowledge,schedule examples,elaboration,schedule model,start date,resource assignments,summary form,form,path schedule activities,change requests,change requests,work,schedule"
172,SEQUENCE ACTIVITIES,Has_outputs,project documents that may be updated as a result of carrying out this process include but are not limited to activity attributes. activity attributes may describe a necessary sequence of events or deﬁned predecessor or successor relationships as well as deﬁned lead and lag and logical relationships between the activities. activity list. the activity list may be impacted by the change in relationships among the project activities during the sequencing activities. assumption log. assumptions and constraints recorded in the assumption log may need to be updated based on the sequencing relationship determination and leads and lags and may give rise to individual project risks that may impact the project schedule. milestone list. the scheduled dates for speciﬁc milestones may be impacted by changes in relationships among the project activities during the sequencing activities. part guide . ,Section 6.2.3.2. Section 6.2.3.1. Section 4.1.3.2. Section 6.2.3.3., project documents updates ,",project documents,project documents,project documents,project documents,project documents,project documents,project documents,project,project documents,project,project documents,project documents,project documents,project documents,project,project,project,project,project,project,project,project documents,project documents,project documents,project documents,project,project,project,project documents,project documents,project documents,project documents,project project,project,project documents,project documents,project documents",",be,be,be,be,be,be,be,is,be,meet,be,be,be,be,is,is,ﬁnish,progresses,has,is,is,be,be,be,be,deliver,adjust,has,be,be,be,be,include,is,be,be,be",",assumption log,assumption log,inputs,register lessons,inputs,inputs,inputs,people,inputs,commitments,inputs,inputs,inputs,inputs,funding entity,values,date,project team,date,work sv,cpi,assumption log,nuassumption log,result,result,products services,knowledge,elaboration,result,result,result,assumption log,work,schedule,assumption log,cost estimates,assumption log"
173,ESTIMATE ACTIVITY DURATIONS,Has_outputs,duration estimates are quantitative assessments of the likely number of time periods that are required to complete an activity a phase or a project. duration estimates do not include any lags as described in section .... duration estimates may include some indication of the range of possible results. for example a range of weeks days which indicates that the activity will take at least days and not more than assuming a day work week or a probability of exceeding weeks which indicates a high probabilitythat the activity will take weeks or less. ,, duration estimates ,",duration estimating,cost estimates,duration,cost estimates,cost estimates,duration estimates,project duration,duration estimates,example duration,hour duration,schedule estimates,duration,duration estimates,duration,duration estimates,estimates,project duration,schedule duration,cost estimates,cost estimates,cost estimates,duration estimates,duration estimates,duration estimates,duration estimates,duration,cost estimates,cost estimates,cost estimates,cost estimates,cost estimates",",be,be,estimates,specify,obtain,include,is,be,is,install,be,be,clarify,be,include,be,determine,meet,be,clarify,include,complete,include,include,include,is,complete,be,include,be,schedule",",phases,phases,section,project budget,cost estimate,leads,amount,segments,labor hours,meters,segments,activity dependencies,range,conﬁdence work,contingency reserves,management reserve,schedule ﬂexibility,schedule constraints,segments,range,contingency reserves,activity,lags,indication,documentation,values indication,project work,summary form,documentation,constraints,schedule activities"
174,ESTIMATE ACTIVITY DURATIONS,Has_outputs,the amount and type of additional details supporting the duration estimate vary by application area. regardless of the level of detail the supporting documentation should provide a clear and complete understanding of how the duration estimate was derived. supporting detail for duration estimates may include documentation of the basis of the estimate i.e. how it was developed documentation of all assumptions made documentation of any known constraints indication of the range of possible estimates e.g. to indicate that the duration is estimated between a range of values indication of the conﬁdence level of the ﬁnal estimate and documentation of individual project risks inﬂuencing this estimate. ,, basis of estimates ,",cost estimates,cost estimates,cost estimates,duration estimates,duration estimates,schedule estimates,duration estimates,duration estimates,estimates,cost estimates,cost estimates,cost estimates,duration estimates,duration estimates,duration estimates,duration estimates,cost estimates,cost estimates,cost estimates,cost estimates,cost estimates",",be,specify,obtain,include,be,be,clarify,include,be,be,clarify,include,complete,include,include,include,complete,be,include,be,schedule",",phases,project budget,cost estimate,leads,segments,segments,range,contingency reserves,management reserve,segments,range,contingency reserves,activity,lags,indication,documentation,project work,summary form,documentation,constraints,schedule activities"
175,ESTIMATE ACTIVITY DURATIONS,Has_outputs,project documents that may be updated as a result of carrying out this process include but are not limited to activity attributes. activity duration estimates produced during this process are documented as part of the activity attributes. assumption log. this includes assumptions made in developing the duration estimate such as resource skill levels and availability as well as a basis of estimates for durations. additionally constraints arising out of the scheduling methodology and scheduling tool are also documented. lessons learned register. the lessons learned register can be updated with techniques that were efﬁcient and effective in developing effort and duration estimates. part guide . ,Section 6.2.3.2. Section 4.1.3.2. Section 4.4.3.1., project documents updates ,",project documents,project documents,project documents,project documents,project documents,project documents,project documents,project,project documents,project,project documents,project documents,project documents,project documents,project,project,project,project,project,project,project,project documents,project documents,project documents,project documents,project,project,project,project documents,project documents,project documents,project documents,project project,project,project documents,project documents,project documents",",be,be,be,be,be,be,be,is,be,meet,be,be,be,be,is,is,ﬁnish,progresses,has,is,is,be,be,be,be,deliver,adjust,has,be,be,be,be,include,is,be,be,be",",assumption log,assumption log,inputs,register lessons,inputs,inputs,inputs,people,inputs,commitments,inputs,inputs,inputs,inputs,funding entity,values,date,project team,date,work sv,cpi,assumption log,nuassumption log,result,result,products services,knowledge,elaboration,result,result,result,assumption log,work,schedule,assumption log,cost estimates,assumption log"
176,DEVELOP SCHEDULE,Has_outputs,a schedule baseline is the approved version of a schedule model that can be changed only through formal change control procedures and is used as a basis for comparison to actual results. it is accepted and approved by the appropriate stakeholders as the schedule baseline with baseline start dates and baseline ﬁnish dates. during monitoring and controlling the approved baseline dates are compared to the actual start and ﬁnish dates to determine if variances have occurred. the schedule baseline is a component of the project management plan. ,, schedule baseline ,",scope baseline,scope baseline,scope baseline,schedule model,schedule reserves,project schedule,schedule management,schedule baseline,schedule model,project schedule,schedule data,scope baseline,schedule,schedule,scope baseline,project schedule,cost baseline,schedule methodology,schedule model,schedule estimates,schedule baseline,schedule reserves,schedule slip,schedule reserves,project schedule,schedule model,schedule activity,schedule constraint,schedule networks,schedule activity,schedule model,schedule,project schedule,schedule duration,schedule acceleration,project schedule,schedule variance,baseline,project schedule,schedule baseline,cost baseline,cost baseline,baseline,schedule variance,schedule variance,schedule variance,schedule variance,project schedule,scope baseline,scope baseline,costs schedule,project schedule,project schedule,schedule project,schedule model,schedule baseline,schedule model,schedule baseline,baseline dates,schedule baseline,project schedule,schedule model,project schedule,schedule model,project schedule,schedule information,schedule data,schedule data,schedule model,project schedule,project schedule,schedule causes,schedule model,schedule changes,schedule delays,schedule theory,schedule variance,schedule theory,cost baseline,cost baseline,cost baseline,cost baseline,cost baseline",",is,is,includes,be,mean,perform,describes,is,require,refers,be,includes,includes,provides,includes,includes,is,use,show,be,is,reduce,reduce,reduce,be,leads,be,is,have,be,exceed,compute,address,meet,increases,deﬁnes,assess,see,require,forecast,is,schedule,see,is,is,equal,is,is,be,is,form,manage,remain,generates,is,is,be,start,determine,is,is,presents,includes,be,be,start,includes,include,require,result,result,respond,reﬂect,manage,be,replaces,is,provides,is,is,is,is,include",",results,results,dictionary,phases,risk impact,project work,frequency,results,project calendar,version,control schedule process,project scope statement,type quantity,interest charges,cost estimation,projects activities,results,use,sequence,segments,part,schedule slip,schedule slip,risk,schedule model,lags,start date,date,paths,start date,resource limits,component delivery,address impact,schedule constraints,coordination efforts,deﬁnes,schedule baseline,section,action,forecast effects,project budget,schedule baseline,section,schedule performance,metric,project,path method,factor,project deliverables,scope statement,code,changes,project,schedule examples,speciﬁc information,schedule model,change control procedures,dates,variances,component,schedule model,presents,start date,target start,summary form,dates,schedule activities,items,project calendar,change requests,change requests,schedule variances,schedule changes,project,target schedule,evm,project,completion date,project budget,schedule activities,form,performance measurement baseline,expenditures"
177,DEVELOP SCHEDULE,Has_outputs,the project schedule is an output of a schedule model that presents linked activities with planned dates durations milestones and resources. at a minimum the project schedule includes a planned start date and planned ﬁnish date for each activity. if resource planning is done at an early stage the project schedule remains preliminary until resource assignments have been conﬁrmed and scheduled start and ﬁnish dates are established. this process usually occurs no later than the completion of the project management plan section .... a target project schedule model may also be developed with a deﬁned target start and target ﬁnish for each activity. the project schedule may be presented in summary form sometimes referred to as the master schedule or milestone schedule or presented in detail. although a project schedule model can be presented in tabular form it is more often presented graphically using one or more of the following formats bar charts. also known as gantt charts bar charts represent schedule information where activities are listed on the vertical axis dates are shown on the horizontal axis and activity durations are shown as horizontal bars placed according to start and ﬁnish dates. bar charts are relatively easy to read and are commonly used. depending on the audience ﬂoat can be depicted or not. for control and management communications the broader more comprehensive summary activity is used between milestones or across multiple interdependent work packages and is displayed in bar chart reports. an example is the summary schedule portion of figure that is presented in a wbsstructured format. milestone charts. these charts are similar to bar charts but only identify the scheduled start or completion of major deliverables and key external interfaces. an example is the milestone schedule portion of figure . project schedule network diagrams. these diagrams are commonly presented in the activityonnode diagram format showing activities and relationships without a time scale sometimes referred to as a pure logic diagram as shown in figure or presented in a timescaled schedule network diagram format that is sometimes called a logic bar chart as shown for the detailed schedule in figure . these diagrams with activity date information usually show both the project network logic and the projects critical path schedule activities. this example also shows how each work package is planned as a series of related activities. another presentation of the project schedule network diagram is a timescaled logic diagram. these diagrams include a time scale and bars that represent the duration of activities with the logical relationships. they are optimized to show the relationships between activities where any number of activities may appear on the same line of the diagram in sequence. figure shows schedule presentations for a sample project being executed with the work in progress reported through asof date or status date. for a simple project schedule model figure reﬂects schedule presentations in the forms of a milestone schedule as a milestone chart a summary schedule as a bar chart and a detailed schedule as a project schedule linked bar chart diagram. figure also visually shows the relationships among the different levels of detail of the project schedule. part guide milestone schedule project schedule time frame activity activity description calendar identifier units period period period period period ..mb begin new product z ...m complete component ...m complete component ...m complete integration of components and ...mf finish new product z data date summary schedule project schedule time frame activity calendar activity description identifier units period period period period period . develop and deliver new product z .. work package component .. work package component .. work package integrated components and data date detailed schedule activity calendar project schedule time frame activity description identifier units period period period period period ..mb begin new product z . develop and deliver product z .. work package component ...d design component fs ...b build component ...t test component ss ...m complete component .. work package component ...d design component ...b build component ...t test component ...m complete component .. work package integrated components and ...g integrate components and as product z ...t complete integration of components and ...m test integrated components as product z ...p deliver product z ...mf finish new product z data date figure . project schedule presentationsexamples ,, project schedule ,",project documents,project charter,project documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,schedule model,schedule reserves,project schedule,project,schedule management,schedule baseline,project documents,schedule model,project calendar,project schedule,schedule data,project charter,project charter,project documents,schedule,schedule,project costs,project documents,project schedule,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,schedule methodology,project teams,schedule model,project team,project team,software project,project duration,schedule estimates,schedule baseline,project manager,project team,schedule reserves,schedule slip,schedule reserves,project duration,project schedule,schedule model,schedule activity,schedule constraint,schedule networks,schedule activity,schedule model,schedule,project schedule,schedule duration,schedule acceleration,project schedule,schedule variance,project performance,project schedule,schedule baseline,project teams,project values,project,project managers,schedule variance,schedule variance,schedule variance,project,schedule variance,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,costs schedule,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,schedule model,project milestones,project,project documents,project risks,project documents,schedule baseline,schedule model,schedule baseline,schedule baseline,project schedule,schedule model,project schedule,stage project schedule,schedule model,project schedule,project schedule model,schedule information,schedule data,schedule data,schedule model,project calendar,project schedule,project documents,project schedule,project documents,schedule causes,schedule model,schedule changes,schedule delays,project cost,project costs,project project,schedule theory,schedule variance,project,schedule theory,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,be,mean,perform,meet,describes,is,be,require,allow,refers,be,provides,deﬁnes,be,includes,provides,be,be,includes,be,attend,develop,sponsors,involves,be,determine,use,hold,show,determines,determines,be,is,be,is,continues,hold,reduce,reduce,reduce,determine,be,leads,be,is,have,be,exceed,compute,address,meet,increases,deﬁnes,assess,determine,require,forecast,hold,becomes,is,determine,is,is,equal,is,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,form,be,be,result,be,manage,deliver,remain,adjust,generates,stop,is,indicates,has,be,impact,be,is,be,start,is,is,presents,includes,remains,be,be,be,start,includes,include,require,allow,result,be,result,be,respond,reﬂect,manage,be,includes,manage,include,replaces,is,is,provides,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,phases,risk impact,project work,commitments,frequency,results,inputs,project calendar,work periods,version,control schedule process,project costs,approval requirements,inputs,type quantity,interest charges,project budget,inputs,projects activities,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,use,planning meetings,sequence,determines,determines,delivery,amount,segments,part,ﬁstofﬁve process,meetings,schedule slip,schedule slip,risk,schedule ﬂexibility,schedule model,lags,start date,date,paths,start date,resource limits,component delivery,address impact,schedule constraints,coordination efforts,deﬁnes,schedule baseline,performance,action,forecast effects,planning meetings,basis,funding entity,status,schedule performance,metric,project,values,path method,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,code,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,speciﬁc information,milestone,elaboration,result,impact project schedule,result,schedule model,change control procedures,dates,component,schedule model,presents,start date,resource assignments,target start,summary form,form,dates,schedule activities,items,project calendar,work periods,change requests,result,change requests,assumption log,schedule variances,schedule changes,project,target schedule,processes,changes,work,evm,project,schedule,completion date,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
178,DEVELOP SCHEDULE,Has_outputs,the schedule data for the project schedule model is the collection of information for describing and controlling the schedule. the schedule data includes at a minimum the schedule milestones schedule activities activity attributes and documentation of all identiﬁed assumptions and constraints. the amount of additional data varies by application area. information frequently supplied as supporting detail includes but is not limited to resource requirements by time period often in the form of a resource histogram alternative schedules such as bestcase or worstcase not resourceleveled or resourceleveled or with or without imposed dates and applied schedule reserves. schedule data could also include such items as resource histograms cashﬂow projections order and delivery schedules or other relevant information. ,, schedule data ,",schedule model,schedule reserves,project schedule,schedule management,schedule baseline,schedule model,project schedule,schedule data,schedule,schedule,project schedule,schedule methodology,schedule model,schedule estimates,schedule baseline,schedule reserves,schedule slip,schedule reserves,project schedule,schedule model,schedule activity,schedule constraint,schedule networks,schedule activity,schedule model,schedule,project schedule,schedule duration,schedule acceleration,project schedule,schedule variance,project schedule,schedule baseline,schedule variance,schedule variance,schedule variance,schedule variance,data,evm data,project schedule,data conversion,costs schedule,project schedule,data,project schedule,schedule project,schedule model,schedule baseline,schedule model,schedule baseline,schedule baseline,project schedule,schedule model,project schedule,schedule model,project schedule,schedule information,data,schedule data,schedule data,schedule model,project schedule,project schedule,schedule causes,schedule model,schedule changes,schedule delays,schedule theory,schedule variance,schedule theory",",be,mean,perform,describes,is,require,refers,be,includes,provides,includes,use,show,be,is,reduce,reduce,reduce,be,leads,be,is,have,be,exceed,compute,address,meet,increases,deﬁnes,assess,require,forecast,is,is,equal,is,is,follows,is,transition,form,manage,dates,remain,generates,is,is,be,start,is,is,presents,includes,be,be,start,is,includes,include,require,result,result,respond,reﬂect,manage,be,replaces,is,provides",",phases,risk impact,project work,frequency,results,project calendar,version,control schedule process,type quantity,interest charges,projects activities,use,sequence,segments,part,schedule slip,schedule slip,risk,schedule model,lags,start date,date,paths,start date,resource limits,component delivery,address impact,schedule constraints,coordination efforts,deﬁnes,schedule baseline,action,forecast effects,schedule performance,metric,project,path method,budget,forecast,factor,asis state,code,changes,scheduling tool,project,schedule examples,speciﬁc information,schedule model,change control procedures,dates,component,schedule model,presents,start date,target start,summary form,dates,controlling schedule,schedule activities,items,project calendar,change requests,change requests,schedule variances,schedule changes,project,target schedule,evm,project,completion date"
179,DEVELOP SCHEDULE,Has_outputs,a project calendar identiﬁes working days and shifts that are available for scheduled activities. it distinguishes time periods in days or parts of days that are available to complete scheduled activities from time periods that are not available for work. a schedule model may require more than one project calendar to allow for different work periods for some activities to calculate the project schedule. the project calendars may be updated. ,, project calendars ,",project documents,project charter,project documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,resource calendars,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,calendars,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,resource calendars,project cost,project costs,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,deﬁnes,be,impact,be,impact,is,be,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,milestones,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,reﬂect,includes,manage,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,project,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,milestones lags,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,resource calendars,processes,changes,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
180,DEVELOP SCHEDULE,Has_outputs, modiﬁcations to the project scope or project schedule may result in change requests to the scope baseline andor other components of the project management plan. change requests are processed for review and disposition through the perform integrated change control process section .. preventive actions may include recommended changes to eliminate or reduce the probability of negative schedule variances. part guide ,Section 4.3.3.4., change requests ,",requests,change,change,change request,change requests,change requests,change request,change requests,change requests,change request,change requests,change requests,change request,change requests,change request,change requests,change request",",use,schedule,cost,scope,perform,perform,schedule,scope,perform,schedule,schedule,perform,schedule,change,cost,perform,cost",",cases,schedule baseline,cost baseline,schedule baselines,process section,process section,schedule baseline,components,process section,schedule management plan,schedule baseline,process section,schedule management plan,activity duration,schedule baselines,process section,cost management plan"
181,DEVELOP SCHEDULE,Has_outputs,any change to the project management plan goes through the organizations change control process via a change request. components that may require a change request for the project management plan include but are not limited to schedule management plan. the schedule management plan may be updated to reﬂect a change in the way the schedule was developed and will be managed. cost baseline. changes to the cost baseline are incorporated in response to approved changes in scope resources or cost estimates. in some cases cost variances can be so severe that a revised cost baseline is needed to provide a realistic basis for performance measurement. ,Section 6.1.3.1. Section 7.3.3.1., project management plan updates ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
182,DEVELOP SCHEDULE,Has_outputs,project documents that may be updated as a result of carrying out this process include but are not limited to activity attributes. activity attributes are updated to include any revised resource requirements and any other revisions generated by the develop schedule process. assumption log. the assumption log may be updated with changes to assumptions in duration resource utilization sequencing or other information that is revealed as a result of developing the schedule model. duration estimates. the number and availability of resources along with the activity dependencies can result in a change to the duration estimates. if the resourceleveling analysis changes the resource requirements then the duration estimates will likely need to be updated as well. lessons learned register. the lessons learned register can be updated with techniques that were efﬁcient and effective in developing the schedule model. resource requirements. resource leveling can have a signiﬁcant effect on preliminary estimates for the types and quantities of resources required. if the resourceleveling analysis changes the resource requirements then the resource requirements are updated. risk register. the risk register may need to be updated to reﬂect opportunities or threats perceived through scheduling assumptions. . ,Section 6.2.3.2. Section 4.1.3.2. Section 6.4.3.1. Section 4.4.3.1. Section 9.2.3.1. Section 11.2.3.1., project documents updates ,",project documents,project documents,project documents,project documents,project documents,project documents,project documents,project,project documents,project,project documents,project documents,project documents,project documents,project,project,project,project,project,project,project,project documents,project documents,project documents,project documents,project,project,project,project documents,project documents,project documents,project documents,project project,project,project documents,project documents,project documents",",be,be,be,be,be,be,be,is,be,meet,be,be,be,be,is,is,ﬁnish,progresses,has,is,is,be,be,be,be,deliver,adjust,has,be,be,be,be,include,is,be,be,be",",assumption log,assumption log,inputs,register lessons,inputs,inputs,inputs,people,inputs,commitments,inputs,inputs,inputs,inputs,funding entity,values,date,project team,date,work sv,cpi,assumption log,nuassumption log,result,result,products services,knowledge,elaboration,result,result,result,assumption log,work,schedule,assumption log,cost estimates,assumption log"
183,CONTROL SCHEDULE,Has_outputs,described in section .... work performance information includes information on how the project work is performing compared to the schedule baseline. variances in the start and ﬁnish dates and the durations can be calculated at the work package level and control account level. for projects using earned value analysis the sv and spi are documented for inclusion in work performance reports see section .... ,, work performance information ,",information,work performance data,work performance data,information,work performance data,work performance data,work,work,information,work,information,information,information,information,work performance information,work,performance,work,work,performance,work,work,work,work,information,information,work performance information,information,information,work performance information,work,work performance information,information,work performance information",",is,include,include,contain,contains,contains,is,exist,becomes,is,becomes,assist,include,develop,covers,be,is,progresses,meet,is,be,be,is,budget,is,is,includes,is,have,includes,starts,includes,is,includes",",product acceptance,requirements number,change requests,activities,project status,project status,detail ability,levels,contingency reserve,writing team,contingency reserve,estimates,project characteristics parameters,model,projects,rate,assumption,reserves,management goal,index value,estimate,rate use,project work,budget,result,processes,project progress,section,approaches,product scope,priorities,project work,projects,project work"
